GEO,AGE,SEX,HRPROF,UNIT,Value
Newfoundland and Labrador,Total,Both,Alcohol,Percent,0.16699999999999998
Newfoundland and Labrador,Total,Both,Cannabis,Number,5316
Newfoundland and Labrador,Total,Both,Cannabis,Percent,0.09
Newfoundland and Labrador,Total,Both,Other,Number,NA
Newfoundland and Labrador,Total,Both,Other,Percent,NA
Newfoundland and Labrador,Total,Both,Suicidal,Number,10377
Newfoundland and Labrador,Total,Both,Suicidal,Percent,0.174
Newfoundland and Labrador,Total,Both,Good Mental Health,Number,40279
Newfoundland and Labrador,Total,Both,Good Mental Health,Percent,0.6759999999999999
Newfoundland and Labrador,Total,Both,Poor Mental Health,Number,7500
Newfoundland and Labrador,Total,Both,Poor Mental Health,Percent,0.126
Newfoundland and Labrador,Total,Both,High Stress,Number,5817
Newfoundland and Labrador,Total,Both,High Stress,Percent,0.138
Newfoundland and Labrador,Total,Both,Low Stress,Number,22444
Newfoundland and Labrador,Total,Both,Low Stress,Percent,0.532
Newfoundland and Labrador,Total,Both,Needs Met,Number,6603
Newfoundland and Labrador,Total,Both,Needs Met,Percent,0.111
Newfoundland and Labrador,Total,Both,Needs not Met,Number,NA
Newfoundland and Labrador,Total,Both,Needs not Met,Percent,NA
Newfoundland and Labrador,Total,Both,Accessed care (past year),Number,7053
Newfoundland and Labrador,Total,Both,Accessed care (past year),Percent,0.11800000000000001
Newfoundland and Labrador,Total,Both,Psychosis,Number,NA
Newfoundland and Labrador,Total,Both,Psychosis,Percent,NA
Newfoundland and Labrador,Total,Both,PTSD,Number,NA
Newfoundland and Labrador,Total,Both,PTSD,Percent,NA
Newfoundland and Labrador,Total,Males,Any Disorder,Number,4973
Newfoundland and Labrador,Total,Males,Any Disorder,Percent,0.163
Newfoundland and Labrador,Total,Males,Depression,Number,4572
Newfoundland and Labrador,Total,Males,Depression,Percent,0.15
Newfoundland and Labrador,Total,Males,Bipolar,Number,NA
Newfoundland and Labrador,Total,Males,Bipolar,Percent,NA
Newfoundland and Labrador,Total,Males,Anxiety,Number,NA
Newfoundland and Labrador,Total,Males,Anxiety,Percent,NA
Newfoundland and Labrador,Total,Males,Any Substance,Number,7376
Newfoundland and Labrador,Total,Males,Any Substance,Percent,0.242
Newfoundland and Labrador,Total,Males,Alcohol,Number,6936
Newfoundland and Labrador,Total,Males,Alcohol,Percent,0.228
Newfoundland and Labrador,Total,Males,Cannabis,Number,NA
Newfoundland and Labrador,Total,Males,Cannabis,Percent,NA
Newfoundland and Labrador,Total,Males,Other,Number,NA
Newfoundland and Labrador,Total,Males,Other,Percent,NA
Newfoundland and Labrador,Total,Males,Suicidal,Number,5326
Newfoundland and Labrador,Total,Males,Suicidal,Percent,0.174
Newfoundland and Labrador,Total,Males,Good Mental Health,Number,19729
Newfoundland and Labrador,Total,Males,Good Mental Health,Percent,0.645
Newfoundland and Labrador,Total,Males,Poor Mental Health,Number,NA
Newfoundland and Labrador,Total,Males,Poor Mental Health,Percent,NA
Newfoundland and Labrador,Total,Males,High Stress,Number,NA
Newfoundland and Labrador,Total,Males,High Stress,Percent,NA
Newfoundland and Labrador,Total,Males,Low Stress,Number,13020
Newfoundland and Labrador,Total,Males,Low Stress,Percent,0.608
Newfoundland and Labrador,Total,Males,Needs Met,Number,3150
Newfoundland and Labrador,Total,Males,Needs Met,Percent,0.10300000000000001
Newfoundland and Labrador,Total,Males,Needs not Met,Number,NA
Newfoundland and Labrador,Total,Males,Needs not Met,Percent,NA
Newfoundland and Labrador,Total,Males,Accessed care (past year),Number,NA
Newfoundland and Labrador,Total,Males,Accessed care (past year),Percent,NA
Newfoundland and Labrador,Total,Males,Psychosis,Number,NA
Newfoundland and Labrador,Total,Males,Psychosis,Percent,NA
Newfoundland and Labrador,Total,Males,PTSD,Number,NA
Newfoundland and Labrador,Total,Males,PTSD,Percent,NA
Newfoundland and Labrador,Total,Females,Any Disorder,Number,2664
Newfoundland and Labrador,Total,Females,Any Disorder,Percent,0.092
Newfoundland and Labrador,Total,Females,Depression,Number,2664
Newfoundland and Labrador,Total,Females,Depression,Percent,0.092
Newfoundland and Labrador,Total,Females,Bipolar,Number,NA
Newfoundland and Labrador,Total,Females,Bipolar,Percent,NA
Newfoundland and Labrador,Total,Females,Anxiety,Number,2683
Newfoundland and Labrador,Total,Females,Anxiety,Percent,0.09300000000000001
Newfoundland and Labrador,Total,Females,Any Substance,Number,5154
Newfoundland and Labrador,Total,Females,Any Substance,Percent,0.18
Newfoundland and Labrador,Total,Females,Alcohol,Number,NA
Newfoundland and Labrador,Total,Females,Alcohol,Percent,NA
Newfoundland and Labrador,Total,Females,Cannabis,Number,NA
Newfoundland and Labrador,Total,Females,Cannabis,Percent,NA
Newfoundland and Labrador,Total,Females,Other,Number,NA
Newfoundland and Labrador,Total,Females,Other,Percent,NA
Newfoundland and Labrador,Total,Females,Suicidal,Number,5051
Newfoundland and Labrador,Total,Females,Suicidal,Percent,0.174
Newfoundland and Labrador,Total,Females,Good Mental Health,Number,20550
Newfoundland and Labrador,Total,Females,Good Mental Health,Percent,0.7090000000000001
Newfoundland and Labrador,Total,Females,Poor Mental Health,Number,2822
Newfoundland and Labrador,Total,Females,Poor Mental Health,Percent,0.09699999999999999
Newfoundland and Labrador,Total,Females,High Stress,Number,3314
Newfoundland and Labrador,Total,Females,High Stress,Percent,0.16
Newfoundland and Labrador,Total,Females,Low Stress,Number,9424
Newfoundland and Labrador,Total,Females,Low Stress,Percent,0.45399999999999996
Newfoundland and Labrador,Total,Females,Needs Met,Number,NA
Newfoundland and Labrador,Total,Females,Needs Met,Percent,NA
Newfoundland and Labrador,Total,Females,Needs not Met,Number,NA
Newfoundland and Labrador,Total,Females,Needs not Met,Percent,NA
Newfoundland and Labrador,Total,Females,Accessed care (past year),Number,4392
Newfoundland and Labrador,Total,Females,Accessed care (past year),Percent,0.152
Newfoundland and Labrador,Total,Females,Psychosis,Number,NA
Newfoundland and Labrador,Total,Females,Psychosis,Percent,NA
Newfoundland and Labrador,Total,Females,PTSD,Number,NA
Newfoundland and Labrador,Total,Females,PTSD,Percent,NA
Newfoundland and Labrador,15 to 24,Both,Any Disorder,Number,12598
Newfoundland and Labrador,15 to 24,Both,Any Disorder,Percent,0.102
Newfoundland and Labrador,15 to 24,Both,Depression,Number,11079
Newfoundland and Labrador,15 to 24,Both,Depression,Percent,0.08900000000000001
Newfoundland and Labrador,15 to 24,Both,Bipolar,Number,NA
Newfoundland and Labrador,15 to 24,Both,Bipolar,Percent,NA
Newfoundland and Labrador,15 to 24,Both,Anxiety,Number,12330
Newfoundland and Labrador,15 to 24,Both,Anxiety,Percent,0.1
Newfoundland and Labrador,15 to 24,Both,Any Substance,Number,22075
Newfoundland and Labrador,15 to 24,Both,Any Substance,Percent,0.18
Newfoundland and Labrador,15 to 24,Both,Alcohol,Number,17707
Newfoundland and Labrador,15 to 24,Both,Alcohol,Percent,0.14300000000000002
Newfoundland and Labrador,15 to 24,Both,Cannabis,Number,7177
Newfoundland and Labrador,15 to 24,Both,Cannabis,Percent,0.057999999999999996
Newfoundland and Labrador,15 to 24,Both,Other,Number,NA
Newfoundland and Labrador,15 to 24,Both,Other,Percent,NA
Newfoundland and Labrador,15 to 24,Both,Suicidal,Number,15421
Newfoundland and Labrador,15 to 24,Both,Suicidal,Percent,0.124
Newfoundland and Labrador,15 to 24,Both,Good Mental Health,Number,83961
Newfoundland and Labrador,15 to 24,Both,Good Mental Health,Percent,0.677
Newfoundland and Labrador,15 to 24,Both,Poor Mental Health,Number,NA
Newfoundland and Labrador,15 to 24,Both,Poor Mental Health,Percent,NA
Newfoundland and Labrador,15 to 24,Both,High Stress,Number,34171
Newfoundland and Labrador,15 to 24,Both,High Stress,Percent,0.305
Newfoundland and Labrador,15 to 24,Both,Low Stress,Number,33755
Newfoundland and Labrador,15 to 24,Both,Low Stress,Percent,0.301
Newfoundland and Labrador,15 to 24,Both,Needs Met,Number,9928
Newfoundland and Labrador,15 to 24,Both,Needs Met,Percent,0.08
Newfoundland and Labrador,15 to 24,Both,Needs not Met,Number,NA
Newfoundland and Labrador,15 to 24,Both,Needs not Met,Percent,NA
Newfoundland and Labrador,15 to 24,Both,Accessed care (past year),Number,12629
Newfoundland and Labrador,15 to 24,Both,Accessed care (past year),Percent,0.102
Newfoundland and Labrador,15 to 24,Both,Psychosis,Number,NA
Newfoundland and Labrador,15 to 24,Both,Psychosis,Percent,NA
Newfoundland and Labrador,15 to 24,Both,PTSD,Number,NA
Newfoundland and Labrador,15 to 24,Both,PTSD,Percent,NA
Newfoundland and Labrador,15 to 24,Males,Any Disorder,Number,NA
Newfoundland and Labrador,15 to 24,Males,Any Disorder,Percent,NA
Newfoundland and Labrador,15 to 24,Males,Depression,Number,NA
Newfoundland and Labrador,15 to 24,Males,Depression,Percent,NA
Newfoundland and Labrador,15 to 24,Males,Bipolar,Number,NA
Newfoundland and Labrador,15 to 24,Males,Bipolar,Percent,NA
Newfoundland and Labrador,15 to 24,Males,Anxiety,Number,NA
Newfoundland and Labrador,15 to 24,Males,Anxiety,Percent,NA
Newfoundland and Labrador,15 to 24,Males,Any Substance,Number,16491
Newfoundland and Labrador,15 to 24,Males,Any Substance,Percent,0.282
Newfoundland and Labrador,15 to 24,Males,Alcohol,Number,14411
Newfoundland and Labrador,15 to 24,Males,Alcohol,Percent,0.24
Newfoundland and Labrador,15 to 24,Males,Cannabis,Number,5180
Newfoundland and Labrador,15 to 24,Males,Cannabis,Percent,0.086
Newfoundland and Labrador,15 to 24,Males,Other,Number,NA
Newfoundland and Labrador,15 to 24,Males,Other,Percent,NA
Newfoundland and Labrador,15 to 24,Males,Suicidal,Number,10333
Newfoundland and Labrador,15 to 24,Males,Suicidal,Percent,0.172
Newfoundland and Labrador,15 to 24,Males,Good Mental Health,Number,41236
Newfoundland and Labrador,15 to 24,Males,Good Mental Health,Percent,0.6859999999999999
Newfoundland and Labrador,15 to 24,Males,Poor Mental Health,Number,NA
Newfoundland and Labrador,15 to 24,Males,Poor Mental Health,Percent,NA
Newfoundland and Labrador,15 to 24,Males,High Stress,Number,16070
Newfoundland and Labrador,15 to 24,Males,High Stress,Percent,0.28
Newfoundland and Labrador,15 to 24,Males,Low Stress,Number,19536
Newfoundland and Labrador,15 to 24,Males,Low Stress,Percent,0.34
Newfoundland and Labrador,15 to 24,Males,Needs Met,Number,4032
Newfoundland and Labrador,15 to 24,Males,Needs Met,Percent,0.067
Newfoundland and Labrador,15 to 24,Males,Needs not Met,Number,NA
Newfoundland and Labrador,15 to 24,Males,Needs not Met,Percent,NA
Newfoundland and Labrador,15 to 24,Males,Accessed care (past year),Number,NA
Newfoundland and Labrador,15 to 24,Males,Accessed care (past year),Percent,NA
Newfoundland and Labrador,15 to 24,Males,Psychosis,Number,NA
Newfoundland and Labrador,15 to 24,Males,Psychosis,Percent,NA
Newfoundland and Labrador,15 to 24,Males,PTSD,Number,NA
Newfoundland and Labrador,15 to 24,Males,PTSD,Percent,NA
Newfoundland and Labrador,15 to 24,Females,Any Disorder,Number,6410
Newfoundland and Labrador,15 to 24,Females,Any Disorder,Percent,0.1
Newfoundland and Labrador,15 to 24,Females,Depression,Number,6045
Newfoundland and Labrador,15 to 24,Females,Depression,Percent,0.095
Newfoundland and Labrador,15 to 24,Females,Bipolar,Number,NA
Newfoundland and Labrador,15 to 24,Females,Bipolar,Percent,NA
Newfoundland and Labrador,15 to 24,Females,Anxiety,Number,5527
Newfoundland and Labrador,15 to 24,Females,Anxiety,Percent,0.087
Newfoundland and Labrador,15 to 24,Females,Any Substance,Number,5584
Newfoundland and Labrador,15 to 24,Females,Any Substance,Percent,0.087
Newfoundland and Labrador,15 to 24,Females,Alcohol,Number,3296
Newfoundland and Labrador,15 to 24,Females,Alcohol,Percent,0.052000000000000005
Newfoundland and Labrador,15 to 24,Females,Cannabis,Number,NA
Newfoundland and Labrador,15 to 24,Females,Cannabis,Percent,NA
Newfoundland and Labrador,15 to 24,Females,Other,Number,NA
Newfoundland and Labrador,15 to 24,Females,Other,Percent,NA
Newfoundland and Labrador,15 to 24,Females,Suicidal,Number,5088
Newfoundland and Labrador,15 to 24,Females,Suicidal,Percent,0.08
Newfoundland and Labrador,15 to 24,Females,Good Mental Health,Number,42724
Newfoundland and Labrador,15 to 24,Females,Good Mental Health,Percent,0.669
Newfoundland and Labrador,15 to 24,Females,Poor Mental Health,Number,2785
Newfoundland and Labrador,15 to 24,Females,Poor Mental Health,Percent,0.044000000000000004
Newfoundland and Labrador,15 to 24,Females,High Stress,Number,18101
Newfoundland and Labrador,15 to 24,Females,High Stress,Percent,0.332
Newfoundland and Labrador,15 to 24,Females,Low Stress,Number,14219
Newfoundland and Labrador,15 to 24,Females,Low Stress,Percent,0.26
Newfoundland and Labrador,15 to 24,Females,Needs Met,Number,5896
Newfoundland and Labrador,15 to 24,Females,Needs Met,Percent,0.092
Newfoundland and Labrador,15 to 24,Females,Needs not Met,Number,NA
Newfoundland and Labrador,15 to 24,Females,Needs not Met,Percent,NA
Newfoundland and Labrador,15 to 24,Females,Accessed care (past year),Number,5299
Newfoundland and Labrador,15 to 24,Females,Accessed care (past year),Percent,0.083
Newfoundland and Labrador,15 to 24,Females,Psychosis,Number,NA
Newfoundland and Labrador,15 to 24,Females,Psychosis,Percent,NA
Newfoundland and Labrador,15 to 24,Females,PTSD,Number,NA
Newfoundland and Labrador,15 to 24,Females,PTSD,Percent,NA
Newfoundland and Labrador,25 to 44,Both,Any Disorder,Number,16726
Newfoundland and Labrador,25 to 44,Both,Any Disorder,Percent,0.102
Newfoundland and Labrador,25 to 44,Both,Depression,Number,15810
Newfoundland and Labrador,25 to 44,Both,Depression,Percent,0.09699999999999999
Newfoundland and Labrador,25 to 44,Both,Bipolar,Number,NA
Newfoundland and Labrador,25 to 44,Both,Bipolar,Percent,NA
Newfoundland and Labrador,25 to 44,Both,Anxiety,Number,11371
Newfoundland and Labrador,25 to 44,Both,Anxiety,Percent,0.07
Newfoundland and Labrador,25 to 44,Both,Any Substance,Number,32128
Newfoundland and Labrador,25 to 44,Both,Any Substance,Percent,0.198
Newfoundland and Labrador,25 to 44,Both,Alcohol,Number,30404
Newfoundland and Labrador,25 to 44,Both,Alcohol,Percent,0.18600000000000003
Newfoundland and Labrador,25 to 44,Both,Cannabis,Number,4303
Newfoundland and Labrador,25 to 44,Both,Cannabis,Percent,0.027000000000000003
Newfoundland and Labrador,25 to 44,Both,Other,Number,NA
Newfoundland and Labrador,25 to 44,Both,Other,Percent,NA
Newfoundland and Labrador,25 to 44,Both,Suicidal,Number,9895
Newfoundland and Labrador,25 to 44,Both,Suicidal,Percent,0.06
Newfoundland and Labrador,25 to 44,Both,Good Mental Health,Number,117192
Newfoundland and Labrador,25 to 44,Both,Good Mental Health,Percent,0.715
Newfoundland and Labrador,25 to 44,Both,Poor Mental Health,Number,9976
Newfoundland and Labrador,25 to 44,Both,Poor Mental Health,Percent,0.061
Newfoundland and Labrador,25 to 44,Both,High Stress,Number,22278
Newfoundland and Labrador,25 to 44,Both,High Stress,Percent,0.187
Newfoundland and Labrador,25 to 44,Both,Low Stress,Number,43412
Newfoundland and Labrador,25 to 44,Both,Low Stress,Percent,0.364
Newfoundland and Labrador,25 to 44,Both,Needs Met,Number,14421
Newfoundland and Labrador,25 to 44,Both,Needs Met,Percent,0.08800000000000001
Newfoundland and Labrador,25 to 44,Both,Needs not Met,Number,NA
Newfoundland and Labrador,25 to 44,Both,Needs not Met,Percent,NA
Newfoundland and Labrador,25 to 44,Both,Accessed care (past year),Number,12717
Newfoundland and Labrador,25 to 44,Both,Accessed care (past year),Percent,0.078
Newfoundland and Labrador,25 to 44,Both,Psychosis,Number,NA
Newfoundland and Labrador,25 to 44,Both,Psychosis,Percent,NA
Newfoundland and Labrador,25 to 44,Both,PTSD,Number,NA
Newfoundland and Labrador,25 to 44,Both,PTSD,Percent,NA
Newfoundland and Labrador,25 to 44,Males,Any Disorder,Number,NA
Newfoundland and Labrador,25 to 44,Males,Any Disorder,Percent,NA
Newfoundland and Labrador,25 to 44,Males,Depression,Number,NA
Newfoundland and Labrador,25 to 44,Males,Depression,Percent,NA
Newfoundland and Labrador,25 to 44,Males,Bipolar,Number,NA
Newfoundland and Labrador,25 to 44,Males,Bipolar,Percent,NA
Newfoundland and Labrador,25 to 44,Males,Anxiety,Number,NA
Newfoundland and Labrador,25 to 44,Males,Anxiety,Percent,NA
Newfoundland and Labrador,25 to 44,Males,Any Substance,Number,26208
Newfoundland and Labrador,25 to 44,Males,Any Substance,Percent,0.33
Newfoundland and Labrador,25 to 44,Males,Alcohol,Number,25291
Newfoundland and Labrador,25 to 44,Males,Alcohol,Percent,0.316
Newfoundland and Labrador,25 to 44,Males,Cannabis,Number,3597
Newfoundland and Labrador,25 to 44,Males,Cannabis,Percent,0.046
Newfoundland and Labrador,25 to 44,Males,Other,Number,NA
Newfoundland and Labrador,25 to 44,Males,Other,Percent,NA
Newfoundland and Labrador,25 to 44,Males,Suicidal,Number,3052
Newfoundland and Labrador,25 to 44,Males,Suicidal,Percent,0.038
Newfoundland and Labrador,25 to 44,Males,Good Mental Health,Number,62062
Newfoundland and Labrador,25 to 44,Males,Good Mental Health,Percent,0.773
Newfoundland and Labrador,25 to 44,Males,Poor Mental Health,Number,4101
Newfoundland and Labrador,25 to 44,Males,Poor Mental Health,Percent,0.051
Newfoundland and Labrador,25 to 44,Males,High Stress,Number,NA
Newfoundland and Labrador,25 to 44,Males,High Stress,Percent,NA
Newfoundland and Labrador,25 to 44,Males,Low Stress,Number,25424
Newfoundland and Labrador,25 to 44,Males,Low Stress,Percent,0.426
Newfoundland and Labrador,25 to 44,Males,Needs Met,Number,2641
Newfoundland and Labrador,25 to 44,Males,Needs Met,Percent,0.033
Newfoundland and Labrador,25 to 44,Males,Needs not Met,Number,NA
Newfoundland and Labrador,25 to 44,Males,Needs not Met,Percent,NA
Newfoundland and Labrador,25 to 44,Males,Accessed care (past year),Number,NA
Newfoundland and Labrador,25 to 44,Males,Accessed care (past year),Percent,NA
Newfoundland and Labrador,25 to 44,Males,Psychosis,Number,NA
Newfoundland and Labrador,25 to 44,Males,Psychosis,Percent,NA
Newfoundland and Labrador,25 to 44,Males,PTSD,Number,NA
Newfoundland and Labrador,25 to 44,Males,PTSD,Percent,NA
Newfoundland and Labrador,25 to 44,Females,Any Disorder,Number,12208
Newfoundland and Labrador,25 to 44,Females,Any Disorder,Percent,0.146
Newfoundland and Labrador,25 to 44,Females,Depression,Number,11803
Newfoundland and Labrador,25 to 44,Females,Depression,Percent,0.141
Newfoundland and Labrador,25 to 44,Females,Bipolar,Number,NA
Newfoundland and Labrador,25 to 44,Females,Bipolar,Percent,NA
Newfoundland and Labrador,25 to 44,Females,Anxiety,Number,7566
Newfoundland and Labrador,25 to 44,Females,Anxiety,Percent,0.091
Newfoundland and Labrador,25 to 44,Females,Any Substance,Number,5920
Newfoundland and Labrador,25 to 44,Females,Any Substance,Percent,0.071
Newfoundland and Labrador,25 to 44,Females,Alcohol,Number,NA
Newfoundland and Labrador,25 to 44,Females,Alcohol,Percent,NA
Newfoundland and Labrador,25 to 44,Females,Cannabis,Number,NA
Newfoundland and Labrador,25 to 44,Females,Cannabis,Percent,NA
Newfoundland and Labrador,25 to 44,Females,Other,Number,NA
Newfoundland and Labrador,25 to 44,Females,Other,Percent,NA
Newfoundland and Labrador,25 to 44,Females,Suicidal,Number,6844
Newfoundland and Labrador,25 to 44,Females,Suicidal,Percent,0.08199999999999999
Newfoundland and Labrador,25 to 44,Females,Good Mental Health,Number,55131
Newfoundland and Labrador,25 to 44,Females,Good Mental Health,Percent,0.659
Newfoundland and Labrador,25 to 44,Females,Poor Mental Health,Number,5874
Newfoundland and Labrador,25 to 44,Females,Poor Mental Health,Percent,0.07
Newfoundland and Labrador,25 to 44,Females,High Stress,Number,16050
Newfoundland and Labrador,25 to 44,Females,High Stress,Percent,0.27
Newfoundland and Labrador,25 to 44,Females,Low Stress,Number,17988
